country,enso_region
Afghanistan,WA
Albania,WA
Algeria,WA
American Samoa,Missing
Andorra,WA
Angola,TE
Anguilla,TE
Antigua and Barbuda,TE
Argentina,WA
Armenia,WA
Aruba,TE
Australia,TE
Austria,WA
Azerbaijan,WA
Bahamas,TE
Bahrain,WA
Bangladesh,TE
Barbados,TE
Belarus,WA
Belgium,WA
Belize,TE
Benin,TE
Bermuda,WA
Bhutan,WA
Bolivia,TE
Bosnia and Herzegovina,WA
Botswana,TE
Brazil,TE
British Indian Ocean Territory,TE
British Virgin Islands,TE
Brunei,TE
Bulgaria,WA
Burkina Faso,TE
Burundi,TE
Cambodia,TE
Cameroon,TE
Canada,WA
Cape Verde,TE
Cayman Islands,TE
Central African Republic,TE
Chad,TE
Chile,WA
China,WA
Christmas Island,TE
Cocos Islands,TE
Colombia,TE
Comoros,TE
Congo,TE
Cook Islands,Missing
Costa Rica,TE
Cote d'Ivoire,TE
Croatia,WA
Cuba,TE
Cyprus,WA
Czech Republic,WA
Democratic Republic of the Congo,TE
Denmark,WA
Djibouti,TE
Dominica,TE
Dominican Republic,TE
Ecuador,TE
Egypt,WA
El Salvador,TE
Equatorial Guinea,TE
Eritrea,TE
Estonia,WA
Eswatini,TE
Ethiopia,TE
Falkland Islands (Islas Malvinas),TE
Faroe Islands,WA
Fiji,WA
Finland,WA
France,WA
French Guiana,TE
French Polynesia,Missing
Gabon,TE
Gambia,TE
Georgia,WA
Germany,WA
Ghana,TE
Gibraltar,WA
Greece,WA
Greenland,WA
Grenada,TE
Guadeloupe,TE
Guam,WA
Guatemala,TE
Guinea,TE
Guinea-Bissau,TE
Guyana,TE
Haiti,TE
Honduras,TE
Hungary,WA
Iceland,WA
India,TE
Indonesia,TE
Iran,WA
Iraq,WA
Ireland,WA
Israel,WA
Italy,WA
Jamaica,TE
Japan,WA
Jordan,WA
Kazakhstan,WA
Kenya,TE
Kiribati,Missing
Kuwait,WA
Kyrgyz Republic,WA
Laos,TE
Latvia,WA
Lebanon,WA
Lesotho,TE
Liberia,TE
Libya,WA
Liechtenstein,WA
Lithuania,WA
Luxembourg,WA
"Macao SAR, China",TE
Macedonia,WA
Madagascar,TE
Malawi,TE
Malaysia,TE
Maldives,TE
Mali,TE
Malta,WA
Marshall Islands,WA
Martinique,TE
Mauritania,TE
Mauritius,TE
Mayotte,TE
Mexico,TE
Micronesia,Missing
Moldova,WA
Monaco,WA
Mongolia,WA
Montserrat,TE
Morocco,TE
Mozambique,TE
Myanmar,TE
Namibia,TE
Nauru,Missing
Nepal,WA
Netherlands,WA
New Caledonia,WA
New Zealand,WA
Nicaragua,TE
Niger,TE
Nigeria,TE
Niue,Missing
Norfolk Island,WA
North Korea,WA
Northern Mariana Islands,Missing
Norway,WA
Oman,TE
Pakistan,WA
Palau,WA
Palestine,WA
Panama,TE
Papua New Guinea,TE
Paraguay,TE
Peru,TE
Philippines,TE
Poland,WA
Portugal,WA
Puerto Rico,TE
Qatar,WA
Republic of Montenegro,WA
Republic of Serbia,WA
Reunion,TE
Romania,WA
Russia,WA
Rwanda,TE
Saint Helena,TE
Saint Kitts and Nevis,TE
Saint Lucia,TE
Saint Vincent and the Grenadines,TE
Samoa,Missing
San Marino,WA
Sao Tome and Principe,WA
Saudi Arabia,WA
Senegal,TE
Seychelles,TE
Sierra Leone,TE
Singapore,TE
Slovak Republic,WA
Slovenia,WA
Solomon Islands,WA
Somalia,TE
South Africa,TE
South Korea,WA
South Sudan,TE
Spain,WA
Sri Lanka,TE
Sudan,TE
Suriname,TE
Svalbard,WA
Sweden,WA
Switzerland,WA
Syria,WA
Tajikistan,WA
Tanzania,TE
Thailand,TE
Timor,WA
Togo,TE
Tokelau,Missing
Tonga,Missing
Trinidad and Tobago,TE
Tunisia,WA
Turkey,WA
Turkmenistan,WA
Turks and Caicos Islands,TE
Tuvalu,Missing
Uganda,TE
Ukraine,WA
United Arab Emirates,TE
United Kingdom,WA
United States,WA
Uruguay,WA
Uzbekistan,WA
Vanuatu,Missing
Venezuela,TE
Vietnam,TE
Virgin Islands,TE
Wallis and Futuna,Missing
Western Sahara,TE
Yemen,TE
Zambia,TE
Zimbabwe,TE
